name,size,duration,duration(s),speed,size_per_sec
md5_compute,1,657ns,0.000000657,1.45MB/s,1522070.0152207
Blake2b512,1,2.113µs,0.000002113,462.17KB/s,473260.76668244204
Blake2s256,1,1.299µs,0.000001299,751.78KB/s,769822.9407236335
Sha1,1,1.205µs,0.000001205,810.43KB/s,829875.5186721992
Keccak224,1,1.88µs,0.00000188,519.45KB/s,531914.8936170213
Keccak256,1,1.746µs,0.000001746,559.31KB/s,572737.686139748
Keccak384,1,2.051µs,0.000002051,476.14KB/s,487567.04046806437
Keccak512,1,2.096µs,0.000002096,465.92KB/s,477099.2366412214
Keccak256Full,1,3.689µs,0.000003689,264.72KB/s,271076.17240444565
Sha3_224,1,1.808µs,0.000001808,540.13KB/s,553097.3451327434
Sha3_256,1,1.851µs,0.000001851,527.59KB/s,540248.5143165856
Sha3_384,1,1.897µs,0.000001897,514.79KB/s,527148.1286241434
Sha3_512,1,2.217µs,0.000002217,440.49KB/s,451059.99097880017
Sha224,1,1.684µs,0.000001684,579.91KB/s,593824.2280285036
Sha256,1,1.349µs,0.000001349,723.92KB/s,741289.8443291327
Sha384,1,1.681µs,0.000001681,580.94KB/s,594883.997620464
Sha512,1,1.736µs,0.000001736,562.54KB/s,576036.866359447
Sha512_224,1,1.476µs,0.000001476,661.63KB/s,677506.7750677507
Sha512_256,1,1.427µs,0.000001427,684.35KB/s,700770.847932726
sm3,1,1.662µs,0.000001662,587.58KB/s,601684.7172081829
crc<u16>,1,618ns,0.000000618,1.54MB/s,1618122.9773462783
crc<u32>,1,866ns,0.000000866,1.10MB/s,1154734.4110854503
crc<u64>,1,1.939µs,0.000001939,503.64KB/s,515729.7576070139
crc16,1,183ns,0.000000183,5.21MB/s,5464480.87431694
crc32fast,1,251ns,0.000000251,3.80MB/s,3984063.74501992
crc64,1,235ns,0.000000235,4.06MB/s,4255319.14893617
sha256,1,1.632µs,0.000001632,598.38KB/s,612745.0980392157
twox_hash::XxHash32,1,153ns,0.000000153,6.23MB/s,6535947.712418301
twox_hash::XxHash64,1,198ns,0.000000198,4.82MB/s,5050505.05050505
twox_hash::XxHash3_64,1,272ns,0.000000272,3.51MB/s,3676470.588235294
twox_hash::XxHash3_128,1,510ns,0.00000051,1.87MB/s,1960784.3137254901
seahash,1,235ns,0.000000235,4.06MB/s,4255319.14893617
xxhash::xxh32,1,218ns,0.000000218,4.37MB/s,4587155.963302752
xxhash::xxh64,1,269ns,0.000000269,3.55MB/s,3717472.118959108
xxhash::xxh3_64_with_seed,1,196ns,0.000000196,4.87MB/s,5102040.816326531
xxhash::xxh3_128_with_seed,1,187ns,0.000000187,5.10MB/s,5347593.582887701
xxhash::const_xxh32,1,210ns,0.00000021,4.54MB/s,4761904.761904762
xxhash::const_xxh64,1,213ns,0.000000213,4.48MB/s,4694835.680751174
xxhash::const_xxh3_64_with_seed,1,308ns,0.000000308,3.10MB/s,3246753.2467532465
xxhash::const_xxh3_128_with_seed,1,343ns,0.000000343,2.78MB/s,2915451.8950437317
murmur3_32,1,274ns,0.000000274,3.48MB/s,3649635.0364963505
murmur3_x64_128,1,292ns,0.000000292,3.27MB/s,3424657.5342465756
murmur3_x86_128,1,250ns,0.00000025,3.81MB/s,4000000
murmur3_32_of_slice,1,171ns,0.000000171,5.58MB/s,5847953.216374269
murmur3_x64_128_of_slice,1,277ns,0.000000277,3.44MB/s,3610108.3032490974
murmur3_x86_128_of_slice,1,218ns,0.000000218,4.37MB/s,4587155.963302752
md5_compute,2,710ns,0.00000071,2.69MB/s,2816901.408450704
Blake2b512,2,2.249µs,0.000002249,868.44KB/s,889284.1262783459
Blake2s256,2,1.873µs,0.000001873,1.02MB/s,1067805.6593699947
Sha1,2,1.025µs,0.000001025,1.86MB/s,1951219.512195122
Keccak224,2,2.122µs,0.000002122,920.42KB/s,942507.068803016
Keccak256,2,1.652µs,0.000001652,1.15MB/s,1210653.7530266345
Keccak384,2,1.714µs,0.000001714,1.11MB/s,1166861.1435239206
Keccak512,2,2.062µs,0.000002062,947.20KB/s,969932.1047526674
Keccak256Full,2,3.489µs,0.000003489,559.80KB/s,573230.1519059902
