name,size,duration,duration(s),speed,size_per_sec
mmh3_32_uintdigest,1,877,877,1.MB/s,1140250.8551881413
mmh3_x64_128_uintdigest,1,1266,1266,77KB/s,789889.4154818326
mmh3_x86_128_uintdigest,1,630,630,1.MB/s,1587301.5873015872
xxh32_intdigest,1,1923,1923,50KB/s,520020.8008320333
xxh3_64_intdigest,1,1135,1135,86KB/s,881057.268722467
xxh3_128_intdigest,1,1191,1191,81KB/s,839630.5625524769
mmh3_32_uintdigest,2,328,328,5.MB/s,6097560.975609756
mmh3_x64_128_uintdigest,2,340,340,5.MB/s,5882352.94117647
mmh3_x86_128_uintdigest,2,244,244,7.MB/s,8196721.31147541
xxh32_intdigest,2,553,553,3.MB/s,3616636.528028933
xxh3_64_intdigest,2,349,349,5.MB/s,5730659.025787965
xxh3_128_intdigest,2,617,617,3.MB/s,3241491.0858995137
mmh3_32_uintdigest,4,241,241,15MB/s,16597510.373443983
mmh3_x64_128_uintdigest,4,258,258,14MB/s,15503875.968992248
mmh3_x86_128_uintdigest,4,234,234,16MB/s,17094017.094017096
xxh32_intdigest,4,478,478,7.MB/s,8368200.836820084
xxh3_64_intdigest,4,410,410,9.MB/s,9756097.56097561
xxh3_128_intdigest,4,505,505,7.MB/s,7920792.0792079205
mmh3_32_uintdigest,8,231,231,33MB/s,34632034.63203463
mmh3_x64_128_uintdigest,8,317,317,24MB/s,25236593.059936907
mmh3_x86_128_uintdigest,8,208,208,36MB/s,38461538.461538464
xxh32_intdigest,8,412,412,18MB/s,19417475.72815534
xxh3_64_intdigest,8,314,314,24MB/s,25477707.006369427
xxh3_128_intdigest,8,446,446,17MB/s,17937219.730941705
mmh3_32_uintdigest,16,228,228,66MB/s,70175438.59649123
mmh3_x64_128_uintdigest,16,237,237,64MB/s,67510548.52320676
mmh3_x86_128_uintdigest,16,264,264,57MB/s,60606060.60606061
xxh32_intdigest,16,404,404,37MB/s,39603960.396039605
xxh3_64_intdigest,16,328,328,46MB/s,48780487.80487805
xxh3_128_intdigest,16,521,521,29MB/s,30710172.74472169
mmh3_32_uintdigest,32,218,218,13MB/s,146788990.82568806
mmh3_x64_128_uintdigest,32,207,207,14MB/s,154589371.98067632
mmh3_x86_128_uintdigest,32,233,233,13MB/s,137339055.79399142
xxh32_intdigest,32,356,356,85MB/s,89887640.4494382
xxh3_64_intdigest,32,421,421,72MB/s,76009501.18764846
xxh3_128_intdigest,32,535,535,57MB/s,59813084.11214953
mmh3_32_uintdigest,64,246,246,24MB/s,260162601.62601626
mmh3_x64_128_uintdigest,64,239,239,25MB/s,267782426.77824268
mmh3_x86_128_uintdigest,64,224,224,27MB/s,285714285.71428573
xxh32_intdigest,64,340,340,17MB/s,188235294.11764705
xxh3_64_intdigest,64,372,372,16MB/s,172043010.75268817
xxh3_128_intdigest,64,451,451,13MB/s,141906873.6141907
mmh3_32_uintdigest,128,259,259,47MB/s,494208494.2084942
mmh3_x64_128_uintdigest,128,232,232,52MB/s,551724137.9310344
mmh3_x86_128_uintdigest,128,229,229,53MB/s,558951965.0655022
xxh32_intdigest,128,345,345,35MB/s,371014492.7536232
xxh3_64_intdigest,128,322,322,37MB/s,397515527.9503106
xxh3_128_intdigest,128,564,564,21MB/s,226950354.60992908
mmh3_32_uintdigest,256,397,397,61MB/s,644836272.0403023
