name,size,duration,duration(s),speed,size_per_sec
md5_compute,1,1.2µs,0.0000012,813.80KB/s,833333.3333333334
Blake2b512,1,2.1µs,0.0000021,465.03KB/s,476190.4761904762
Blake2s256,1,1.5µs,0.0000015,651.04KB/s,666666.6666666666
Sha1,1,900ns,0.0000009,1.06MB/s,1111111.111111111
Keccak224,1,1.4µs,0.0000014,697.54KB/s,714285.7142857143
Keccak256,1,700ns,0.0000007,1.36MB/s,1428571.4285714286
Keccak384,1,800ns,0.0000008,1.19MB/s,1250000
Keccak512,1,1µs,0.000001,976.56KB/s,1000000
Keccak256Full,1,1.4µs,0.0000014,697.54KB/s,714285.7142857143
Sha3_224,1,700ns,0.0000007,1.36MB/s,1428571.4285714286
Sha3_256,1,700ns,0.0000007,1.36MB/s,1428571.4285714286
Sha3_384,1,800ns,0.0000008,1.19MB/s,1250000
Sha3_512,1,800ns,0.0000008,1.19MB/s,1250000
Sha224,1,400ns,0.0000004,2.38MB/s,2500000
Sha256,1,400ns,0.0000004,2.38MB/s,2500000
Sha384,1,1.2µs,0.0000012,813.80KB/s,833333.3333333334
Sha512,1,700ns,0.0000007,1.36MB/s,1428571.4285714286
Sha512_224,1,500ns,0.0000005,1.91MB/s,2000000
Sha512_256,1,400ns,0.0000004,2.38MB/s,2500000
sm3,1,1.3µs,0.0000013,751.20KB/s,769230.7692307692
crc<u16>,1,400ns,0.0000004,2.38MB/s,2500000
crc<u32>,1,400ns,0.0000004,2.38MB/s,2500000
crc<u64>,1,900ns,0.0000009,1.06MB/s,1111111.111111111
crc16,1,300ns,0.0000003,3.18MB/s,3333333.3333333335
crc32fast,1,400ns,0.0000004,2.38MB/s,2500000
crc64,1,300ns,0.0000003,3.18MB/s,3333333.3333333335
sha256,1,400ns,0.0000004,2.38MB/s,2500000
twox_hash::XxHash32,1,0ns,0,infBB/s,inf
twox_hash::XxHash64,1,200ns,0.0000002,4.77MB/s,5000000
twox_hash::XxHash3_64,1,600ns,0.0000006,1.59MB/s,1666666.6666666667
twox_hash::XxHash3_128,1,400ns,0.0000004,2.38MB/s,2500000
seahash,1,300ns,0.0000003,3.18MB/s,3333333.3333333335
xxhash::xxh32,1,100ns,0.0000001,9.54MB/s,10000000
xxhash::xxh64,1,200ns,0.0000002,4.77MB/s,5000000
xxhash::xxh3_64_with_seed,1,200ns,0.0000002,4.77MB/s,5000000
xxhash::xxh3_128_with_seed,1,200ns,0.0000002,4.77MB/s,5000000
xxhash::const_xxh32,1,100ns,0.0000001,9.54MB/s,10000000
xxhash::const_xxh64,1,200ns,0.0000002,4.77MB/s,5000000
xxhash::const_xxh3_64_with_seed,1,300ns,0.0000003,3.18MB/s,3333333.3333333335
xxhash::const_xxh3_128_with_seed,1,200ns,0.0000002,4.77MB/s,5000000
murmur3_32,1,300ns,0.0000003,3.18MB/s,3333333.3333333335
murmur3_x64_128,1,100ns,0.0000001,9.54MB/s,10000000
murmur3_x86_128,1,100ns,0.0000001,9.54MB/s,10000000
murmur3_32_of_slice,1,100ns,0.0000001,9.54MB/s,10000000
murmur3_x64_128_of_slice,1,100ns,0.0000001,9.54MB/s,10000000
murmur3_x86_128_of_slice,1,100ns,0.0000001,9.54MB/s,10000000
md5_compute,2,1.8µs,0.0000018,1.06MB/s,1111111.111111111
Blake2b512,2,2.4µs,0.0000024,813.80KB/s,833333.3333333334
Blake2s256,2,1.4µs,0.0000014,1.36MB/s,1428571.4285714286
Sha1,2,600ns,0.0000006,3.18MB/s,3333333.3333333335
Keccak224,2,1.7µs,0.0000017,1.12MB/s,1176470.5882352942
Keccak256,2,800ns,0.0000008,2.38MB/s,2500000
Keccak384,2,1µs,0.000001,1.91MB/s,2000000
Keccak512,2,1.3µs,0.0000013,1.47MB/s,1538461.5384615385
Keccak256Full,2,1.9µs,0.0000019,1.00MB/s,1052631.5789473683
Sha3_224,2,1.2µs,0.0000012,1.59MB/s,1666666.6666666667
Sha3_256,2,800ns,0.0000008,2.38MB/s,2500000
Sha3_384,2,1.1µs,0.0000011,1.73MB/s,1818181.8181818181
Sha3_512,2,900ns,0.0000009,2.12MB/s,2222222.222222222
Sha224,2,600ns,0.0000006,3.18MB/s,3333333.3333333335
Sha256,2,300ns,0.0000003,6.36MB/s,6666666.666666667
Sha384,2,1.3µs,0.0000013,1.47MB/s,1538461.5384615385
Sha512,2,900ns,0.0000009,2.12MB/s,2222222.222222222
Sha512_224,2,700ns,0.0000007,2.72MB/s,2857142.8571428573
Sha512_256,2,500ns,0.0000005,3.81MB/s,4000000
sm3,2,2.2µs,0.0000022,887.78KB/s,909090.9090909091
crc<u16>,2,400ns,0.0000004,4.77MB/s,5000000
crc<u32>,2,500ns,0.0000005,3.81MB/s,4000000
crc<u64>,2,1µs,0.000001,1.91MB/s,2000000
crc16,2,400ns,0.0000004,4.77MB/s,5000000
crc32fast,2,600ns,0.0000006,3.18MB/s,3333333.3333333335
crc64,2,500ns,0.0000005,3.81MB/s,4000000
sha256,2,1µs,0.000001,1.91MB/s,2000000
twox_hash::XxHash32,2,100ns,0.0000001,19.07MB/s,20000000
twox_hash::XxHash64,2,300ns,0.0000003,6.36MB/s,6666666.666666667
twox_hash::XxHash3_64,2,300ns,0.0000003,6.36MB/s,6666666.666666667
twox_hash::XxHash3_128,2,400ns,0.0000004,4.77MB/s,5000000
seahash,2,200ns,0.0000002,9.54MB/s,10000000
xxhash::xxh32,2,100ns,0.0000001,19.07MB/s,20000000
xxhash::xxh64,2,200ns,0.0000002,9.54MB/s,10000000
xxhash::xxh3_64_with_seed,2,200ns,0.0000002,9.54MB/s,10000000
xxhash::xxh3_128_with_seed,2,200ns,0.0000002,9.54MB/s,10000000
xxhash::const_xxh32,2,100ns,0.0000001,19.07MB/s,20000000
xxhash::const_xxh64,2,200ns,0.0000002,9.54MB/s,10000000
xxhash::const_xxh3_64_with_seed,2,300ns,0.0000003,6.36MB/s,6666666.666666667
xxhash::const_xxh3_128_with_seed,2,300ns,0.0000003,6.36MB/s,6666666.666666667
murmur3_32,2,200ns,0.0000002,9.54MB/s,10000000
murmur3_x64_128,2,200ns,0.0000002,9.54MB/s,10000000
murmur3_x86_128,2,100ns,0.0000001,19.07MB/s,20000000
murmur3_32_of_slice,2,0ns,0,infBB/s,inf
murmur3_x64_128_of_slice,2,200ns,0.0000002,9.54MB/s,10000000
murmur3_x86_128_of_slice,2,100ns,0.0000001,19.07MB/s,20000000
md5_compute,4,1µs,0.000001,3.81MB/s,4000000
Blake2b512,4,2.7µs,0.0000027,1.41MB/s,1481481.4814814816
Blake2s256,4,2.1µs,0.0000021,1.82MB/s,1904761.9047619049
Sha1,4,800ns,0.0000008,4.77MB/s,5000000
Keccak224,4,1.8µs,0.0000018,2.12MB/s,2222222.222222222
Keccak256,4,900ns,0.0000009,4.24MB/s,4444444.444444444
Keccak384,4,1µs,0.000001,3.81MB/s,4000000
Keccak512,4,1.2µs,0.0000012,3.18MB/s,3333333.3333333335
Keccak256Full,4,1.8µs,0.0000018,2.12MB/s,2222222.222222222
Sha3_224,4,900ns,0.0000009,4.24MB/s,4444444.444444444
Sha3_256,4,800ns,0.0000008,4.77MB/s,5000000
Sha3_384,4,1µs,0.000001,3.81MB/s,4000000
Sha3_512,4,1.6µs,0.0000016,2.38MB/s,2500000
Sha224,4,500ns,0.0000005,7.63MB/s,8000000
Sha256,4,400ns,0.0000004,9.54MB/s,10000000
Sha384,4,1.6µs,0.0000016,2.38MB/s,2500000
Sha512,4,1µs,0.000001,3.81MB/s,4000000
Sha512_224,4,800ns,0.0000008,4.77MB/s,5000000
Sha512_256,4,600ns,0.0000006,6.36MB/s,6666666.666666667
sm3,4,1.9µs,0.0000019,2.01MB/s,2105263.1578947366
crc<u16>,4,700ns,0.0000007,5.45MB/s,5714285.714285715
crc<u32>,4,500ns,0.0000005,7.63MB/s,8000000
crc<u64>,4,1.2µs,0.0000012,3.18MB/s,3333333.3333333335
crc16,4,500ns,0.0000005,7.63MB/s,8000000
crc32fast,4,900ns,0.0000009,4.24MB/s,4444444.444444444
crc64,4,300ns,0.0000003,12.72MB/s,13333333.333333334
sha256,4,1µs,0.000001,3.81MB/s,4000000
twox_hash::XxHash32,4,0ns,0,infBB/s,inf
twox_hash::XxHash64,4,400ns,0.0000004,9.54MB/s,10000000
twox_hash::XxHash3_64,4,400ns,0.0000004,9.54MB/s,10000000
twox_hash::XxHash3_128,4,500ns,0.0000005,7.63MB/s,8000000
seahash,4,300ns,0.0000003,12.72MB/s,13333333.333333334
xxhash::xxh32,4,100ns,0.0000001,38.15MB/s,40000000
xxhash::xxh64,4,200ns,0.0000002,19.07MB/s,20000000
xxhash::xxh3_64_with_seed,4,200ns,0.0000002,19.07MB/s,20000000
xxhash::xxh3_128_with_seed,4,100ns,0.0000001,38.15MB/s,40000000
xxhash::const_xxh32,4,100ns,0.0000001,38.15MB/s,40000000
xxhash::const_xxh64,4,200ns,0.0000002,19.07MB/s,20000000
xxhash::const_xxh3_64_with_seed,4,300ns,0.0000003,12.72MB/s,13333333.333333334
xxhash::const_xxh3_128_with_seed,4,300ns,0.0000003,12.72MB/s,13333333.333333334
murmur3_32,4,100ns,0.0000001,38.15MB/s,40000000
murmur3_x64_128,4,200ns,0.0000002,19.07MB/s,20000000
murmur3_x86_128,4,100ns,0.0000001,38.15MB/s,40000000
murmur3_32_of_slice,4,100ns,0.0000001,38.15MB/s,40000000
murmur3_x64_128_of_slice,4,100ns,0.0000001,38.15MB/s,40000000
murmur3_x86_128_of_slice,4,100ns,0.0000001,38.15MB/s,40000000
md5_compute,8,900ns,0.0000009,8.48MB/s,8888888.888888888
Blake2b512,8,3.3µs,0.0000033,2.31MB/s,2424242.4242424243
Blake2s256,8,1.4µs,0.0000014,5.45MB/s,5714285.714285715
Sha1,8,1µs,0.000001,7.63MB/s,8000000
Keccak224,8,1.6µs,0.0000016,4.77MB/s,5000000
Keccak256,8,1.1µs,0.0000011,6.94MB/s,7272727.2727272725
Keccak384,8,1.5µs,0.0000015,5.09MB/s,5333333.333333333
Keccak512,8,1.2µs,0.0000012,6.36MB/s,6666666.666666667
