name,size,duration,duration(s),speed,size_per_sec
mmh3_32_uintdigest,1,4800,4800,20KB/s,208333.33333333334
mmh3_x64_128_uintdigest,1,700,700,1.MB/s,1428571.4285714286
mmh3_x86_128_uintdigest,1,3700,3700,26KB/s,270270.2702702703
xxh32_intdigest,1,7400,7400,13KB/s,135135.13513513515
xxh3_64_intdigest,1,2800,2800,34KB/s,357142.85714285716
xxh3_128_intdigest,1,5800,5800,16KB/s,172413.7931034483
mmh3_32_uintdigest,2,300,300,6.MB/s,6666666.666666667
mmh3_x64_128_uintdigest,2,300,300,6.MB/s,6666666.666666667
mmh3_x86_128_uintdigest,2,200,200,9.MB/s,10000000.0
xxh32_intdigest,2,300,300,6.MB/s,6666666.666666667
xxh3_64_intdigest,2,300,300,6.MB/s,6666666.666666667
xxh3_128_intdigest,2,500,500,3.MB/s,4000000.0
mmh3_32_uintdigest,4,200,200,19MB/s,20000000.0
mmh3_x64_128_uintdigest,4,200,200,19MB/s,20000000.0
mmh3_x86_128_uintdigest,4,200,200,19MB/s,20000000.0
xxh32_intdigest,4,400,400,9.MB/s,10000000.0
xxh3_64_intdigest,4,300,300,12MB/s,13333333.333333334
xxh3_128_intdigest,4,500,500,7.MB/s,8000000.0
mmh3_32_uintdigest,8,200,200,38MB/s,40000000.0
mmh3_x64_128_uintdigest,8,200,200,38MB/s,40000000.0
mmh3_x86_128_uintdigest,8,200,200,38MB/s,40000000.0
xxh32_intdigest,8,300,300,25MB/s,26666666.666666668
xxh3_64_intdigest,8,300,300,25MB/s,26666666.666666668
xxh3_128_intdigest,8,300,300,25MB/s,26666666.666666668
mmh3_32_uintdigest,16,200,200,76MB/s,80000000.0
mmh3_x64_128_uintdigest,16,400,400,38MB/s,40000000.0
mmh3_x86_128_uintdigest,16,400,400,38MB/s,40000000.0
xxh32_intdigest,16,400,400,38MB/s,40000000.0
xxh3_64_intdigest,16,200,200,76MB/s,80000000.0
xxh3_128_intdigest,16,400,400,38MB/s,40000000.0
mmh3_32_uintdigest,32,200,200,15MB/s,160000000.0
mmh3_x64_128_uintdigest,32,200,200,15MB/s,160000000.0
mmh3_x86_128_uintdigest,32,200,200,15MB/s,160000000.0
xxh32_intdigest,32,400,400,76MB/s,80000000.0
xxh3_64_intdigest,32,300,300,10MB/s,106666666.66666667
xxh3_128_intdigest,32,300,300,10MB/s,106666666.66666667
mmh3_32_uintdigest,64,200,200,30MB/s,320000000.0
mmh3_x64_128_uintdigest,64,200,200,30MB/s,320000000.0
mmh3_x86_128_uintdigest,64,200,200,30MB/s,320000000.0
xxh32_intdigest,64,300,300,20MB/s,213333333.33333334
xxh3_64_intdigest,64,200,200,30MB/s,320000000.0
xxh3_128_intdigest,64,300,300,20MB/s,213333333.33333334
mmh3_32_uintdigest,128,100,100,1.GB/s,1280000000.0
mmh3_x64_128_uintdigest,128,200,200,61MB/s,640000000.0
mmh3_x86_128_uintdigest,128,200,200,61MB/s,640000000.0
xxh32_intdigest,128,400,400,30MB/s,320000000.0
xxh3_64_intdigest,128,300,300,40MB/s,426666666.6666667
xxh3_128_intdigest,128,400,400,30MB/s,320000000.0
mmh3_32_uintdigest,256,200,200,1.GB/s,1280000000.0
mmh3_x64_128_uintdigest,256,200,200,1.GB/s,1280000000.0
mmh3_x86_128_uintdigest,256,200,200,1.GB/s,1280000000.0
xxh32_intdigest,256,300,300,81MB/s,853333333.3333334
xxh3_64_intdigest,256,600,600,40MB/s,426666666.6666667
xxh3_128_intdigest,256,10200,10200,23MB/s,25098039.215686273
mmh3_32_uintdigest,512,300,300,1.GB/s,1706666666.6666667
mmh3_x64_128_uintdigest,512,300,300,1.GB/s,1706666666.6666667
mmh3_x86_128_uintdigest,512,300,300,1.GB/s,1706666666.6666667
xxh32_intdigest,512,300,300,1.GB/s,1706666666.6666667
xxh3_64_intdigest,512,300,300,1.GB/s,1706666666.6666667
xxh3_128_intdigest,512,400,400,1.GB/s,1280000000.0
mmh3_32_uintdigest,1024,400,400,2.GB/s,2560000000.0
mmh3_x64_128_uintdigest,1024,300,300,3.GB/s,3413333333.3333335
mmh3_x86_128_uintdigest,1024,300,300,3.GB/s,3413333333.3333335
xxh32_intdigest,1024,400,400,2.GB/s,2560000000.0
xxh3_64_intdigest,1024,300,300,3.GB/s,3413333333.3333335
xxh3_128_intdigest,1024,400,400,2.GB/s,2560000000.0
mmh3_32_uintdigest,2048,700,700,2.GB/s,2925714285.714286
mmh3_x64_128_uintdigest,2048,400,400,4.GB/s,5120000000.0
mmh3_x86_128_uintdigest,2048,500,500,3.GB/s,4096000000.0
xxh32_intdigest,2048,400,400,4.GB/s,5120000000.0
xxh3_64_intdigest,2048,300,300,6.GB/s,6826666666.666667
xxh3_128_intdigest,2048,400,400,4.GB/s,5120000000.0
mmh3_32_uintdigest,4096,1100,1100,3.GB/s,3723636363.6363635
mmh3_x64_128_uintdigest,4096,700,700,5.GB/s,5851428571.428572
mmh3_x86_128_uintdigest,4096,1000,1000,3.GB/s,4096000000.0
xxh32_intdigest,4096,800,800,4.GB/s,5120000000.0
xxh3_64_intdigest,4096,500,500,7.GB/s,8192000000.0
xxh3_128_intdigest,4096,500,500,7.GB/s,8192000000.0
mmh3_32_uintdigest,8192,2100,2100,3.GB/s,3900952380.952381
mmh3_x64_128_uintdigest,8192,1200,1200,6.GB/s,6826666666.666667
mmh3_x86_128_uintdigest,8192,1700,1700,4.GB/s,4818823529.411765
xxh32_intdigest,8192,1300,1300,5.GB/s,6301538461.538462
xxh3_64_intdigest,8192,600,600,12GB/s,13653333333.333334
xxh3_128_intdigest,8192,600,600,12GB/s,13653333333.333334
mmh3_32_uintdigest,16384,4100,4100,3.GB/s,3996097560.97561
mmh3_x64_128_uintdigest,16384,2200,2200,6.GB/s,7447272727.272727
mmh3_x86_128_uintdigest,16384,3100,3100,4.GB/s,5285161290.32258
xxh32_intdigest,16384,2300,2300,6.GB/s,7123478260.869565
xxh3_64_intdigest,16384,900,900,16GB/s,18204444444.444443
xxh3_128_intdigest,16384,900,900,16GB/s,18204444444.444443
mmh3_32_uintdigest,32768,8200,8200,3.GB/s,3996097560.97561
mmh3_x64_128_uintdigest,32768,4300,4300,7.GB/s,7620465116.27907
mmh3_x86_128_uintdigest,32768,6200,6200,4.GB/s,5285161290.32258
xxh32_intdigest,32768,4300,4300,7.GB/s,7620465116.27907
xxh3_64_intdigest,32768,1600,1600,19GB/s,20480000000.0
xxh3_128_intdigest,32768,1600,1600,19GB/s,20480000000.0
mmh3_32_uintdigest,65536,16100,16100,3.GB/s,4070559006.21118
mmh3_x64_128_uintdigest,65536,8200,8200,7.GB/s,7992195121.95122
mmh3_x86_128_uintdigest,65536,12100,12100,5.GB/s,5416198347.107438
xxh32_intdigest,65536,8400,8400,7.GB/s,7801904761.904762
xxh3_64_intdigest,65536,2900,2900,21GB/s,22598620689.655174
xxh3_128_intdigest,65536,2900,2900,21GB/s,22598620689.655174
mmh3_32_uintdigest,131072,32100,32100,3.GB/s,4083239875.389408
mmh3_x64_128_uintdigest,131072,16200,16200,7.GB/s,8090864197.530864
mmh3_x86_128_uintdigest,131072,23300,23300,5.GB/s,5625407725.321888
xxh32_intdigest,131072,16400,16400,7.GB/s,7992195121.95122
xxh3_64_intdigest,131072,6800,6800,17GB/s,19275294117.64706
xxh3_128_intdigest,131072,5400,5400,22GB/s,24272592592.592594
mmh3_32_uintdigest,262144,64000,64000,3.GB/s,4096000000.0
mmh3_x64_128_uintdigest,262144,31900,31900,7.GB/s,8217680250.783699
mmh3_x86_128_uintdigest,262144,46400,46400,5.GB/s,5649655172.413794
xxh32_intdigest,262144,32600,32600,7.GB/s,8041226993.86503
xxh3_64_intdigest,262144,9300,9300,26GB/s,28187526881.72043
xxh3_128_intdigest,262144,8900,8900,27GB/s,29454382022.47191
mmh3_32_uintdigest,524288,126600,126600,3.GB/s,4141295418.6413903
mmh3_x64_128_uintdigest,524288,69800,69800,6.GB/s,7511289398.280803
mmh3_x86_128_uintdigest,524288,91900,91900,5.GB/s,5704983677.910772
xxh32_intdigest,524288,64200,64200,7.GB/s,8166479750.778816
xxh3_64_intdigest,524288,22400,22400,21GB/s,23405714285.714287
xxh3_128_intdigest,524288,16500,16500,29GB/s,31775030303.030304
mmh3_32_uintdigest,1048576,264000,264000,3.GB/s,3971878787.878788
mmh3_x64_128_uintdigest,1048576,138800,138800,7.GB/s,7554582132.564841
mmh3_x86_128_uintdigest,1048576,193700,193700,5.GB/s,5413402168.301497
xxh32_intdigest,1048576,133300,133300,7.GB/s,7866286571.642911
xxh3_64_intdigest,1048576,39700,39700,24GB/s,26412493702.770782
xxh3_128_intdigest,1048576,35900,35900,27GB/s,29208245125.34819
mmh3_32_uintdigest,2097152,533300,533300,3.GB/s,3932405775.36096
mmh3_x64_128_uintdigest,2097152,288200,288200,6.GB/s,7276724496.877169
